attributes,sion,bern_large,plateau,neuchatel,lausanne_lake,zurich_large,stgallen,bern,lausanne,zurich_kreis,frutigen,locarno,linthal,zermatt,lugano,luzern
n_nodes,8832,12968,13504,8438,11285,13616,5331,6605,5581,6837,2623,2263,2897,1025,1800,1523
n_edges,19918,29180,31084,18746,24604,28775,11797,15084,11937,14182,5628,5079,6725,2175,3938,3297
network_distance,3888172.043,3602969.782,3572045.846,3156269.315,3139229.947,3010183.0,1523455.515,1438182.984,1292002.365,1266267.028,1041450.22,835525.4758,822422.7292,504994.2373,434666.978,358086.1248491307
area,1060218732.0,469949601.4,430502117.5,716496964.9,290172035.0,255957050.9,195755570.2,100409671.6,85342255.68,91881151.37,214964360.1,522750882.6,183915837.1,90928093.54,24341302.19,27881678.353303224
population,16433,54642,44408,21624,52364,106337,24439,45619,39900,84812,6545,5990,7170,4322,12030,22181
trips,74171,266060,207224,105879,270132,603783,123059,235943,203190,497653,27401,28792,27695,19100,59320,138610
n_intersection,7444,10938,11332,7323,9887,11833,4224,5748,4902,6159,2134,1941,2388,855,1377,1246
n_street,10459,15596,16137,10328,13907,16978,6316,8312,7012,8770,2916,2713,3420,1164,2172,1855
streets_per_node,2.3684329710144927,2.4048426896977175,2.389366113744076,2.447499407442522,2.464510412051396,2.492949471210341,2.369536672294129,2.5162755488266466,2.5124529654183836,2.5651601579640193,2.222645825390774,2.397702165267344,2.3610631687953054,2.2712195121951217,2.4133333333333336,2.4359816152330924
node_d_km,8.330356497070685,27.59444834512977,31.368022248738814,11.776742140151244,38.89072218821752,53.19642475800995,27.232941545643286,65.78051588361299,65.39550607528918,74.411344414956,12.202022690150374,4.329021863317701,15.751770185546794,11.27264369169803,73.94838559786623,54.62368443898091
intersection_d_km,7.021192681634305,23.27483621213984,26.3227508977124,10.220559693331069,34.0728905870542,46.230412320911555,21.57793004854572,57.24548149871423,57.439306715833645,67.03224663620215,9.927226999916469,3.713049684798788,12.984199932028217,9.403034494050551,56.57051498236766,44.68884491856219
edge_d_km,3667.3300767140186,7666.7152628621825,8297.39437036567,4405.139825439438,10818.51304907507,11760.500402372103,7782.437627954057,14323.151949913592,15139.069790776844,13781.575540794192,4844.757610078509,1598.3243712290675,4471.734147876385,5553.775710496204,17857.178496976645,12843.062039222872
